Region,Division,Sum,Rank,Ref_SchoolID,School2_ID,School3_ID,RefSchool_Name,School2_Name,School3_Name,RefSchool_LAT,RefSchool_LONG,School2_LAT,School2_LONG,School3_LAT,School 3_LONG,RefSch ot_Sch2,RefSch ot_Sch3,Sum of D1_D2,School Type
Region V,Albay,3.331173049,8,111762,111794,112014,Libon East Central School Albay 111762,J. Cortes Elementary School Albay 111794,Santicon Elementary School Albay 112014,13.2982,123.441506,13.300806,123.437939,13.32348,123.444228,0.485886227,2.845286822,3.331173049,CS
Region V,Albay,3.432723361,9,111858,111862,111863,Malilipot Central School Albay 111858,San Isidro East Elementary School Albay 111862,San Isidro West Elementary School Albay 111863,13.318954,123.740422,13.331041,123.73771,13.331298,123.726546,1.384868374,2.047854988,3.432723362,CS
Region V,Albay,4.486046335,11,111995,112009,112011,Polangui North Central School Albay 111995,Magurang Elementary School Albay 112009,Polangui South Central School Albay 112011,13.29738928,123.4885597,13.2911,123.498,13.321108,123.505603,1.246298114,3.239748221,4.486046335,CS
Region V,Albay,4.710220666,12,112081,112075,112076,Tiwi Central School Albay 112081,Cararayan-Naga Elementary School Albay 112075,Nagas Elementary School Albay 112076,13.4530672,123.6799961,13.466978,123.660994,13.43416704,123.6786103,2.589200101,2.121020564,4.710220665,CS
Region V,Albay,4.929057316,14,111899,111890,111901,Manito Central School Albay 111899,Buyo Elementary School Albay 111890,Nagotgot Elementary School Albay 111901,13.12577528,123.8694267,13.12195,123.870152,13.108691,123.906727,0.435433497,4.49362382,4.929057317,CS
Region V,Albay,4.970279016,15,112062,112055,112061,Sto. Domingo Central School Albay 112062,Lidong Elementary School Albay 112055,Sta. Misericordia Elementary School Albay 112061,13.23838442,123.7752033,13.222003,123.761026,13.25480506,123.7586848,2.397720266,2.57255875,4.970279016,CS
Region V,Albay,5.405007382,16,111584,111597,111609,Bacacay East Central School Albay 111584,Sogod Elementary School Albay 111597,Hindi Elementary School Albay 111609,13.28980831,123.7919886,13.3104,123.767,13.295523,123.776171,3.566946588,1.838060794,5.405007382,CS
Region VI,Antique,5.311065515,1,114984,114991,114997,Bugasong CS Antique 114984,Jinalinan-Paliwan ES Antique 114991,Tagudtud ES Antique 114997,11.044495,122.063212,11.06088979,122.0517606,11.06595231,122.0808496,2.225018526,3.086046988,5.311065514,CS
Region VI,Antique,6.362165543,2,115069,115075,115089,Hamtic Central School Antique 115069,Malandog ES Antique 115075,Lanag Elementary School Antique 115089,10.7018,121.9794,10.7225,121.9643,10.67851232,122.0007869,2.850846561,3.511318982,6.362165543,CS
Region VI,Antique,9.63414841,3,115038,115033,115039,Culasi CS Antique 115038,Bitadton ES Antique 115033,Culasi North ES Antique 115039,11.421846,122.054292,11.495895,122.085446,11.42743,122.056446,8.965898355,0.668250054,9.634148409,CS
Region VI,Antique,10.33766884,4,114973,115212,115315,Belison CS Antique 114973,Assemblyman Segundo Moscoso MS Antique 115212,Egaña ES Antique 115315,10.8351,121.9636,10.7988,121.9482,10.78383917,121.9774134,4.402024247,5.935644597,10.33766884,CS
CAR,Apayao,3.748804449,1,135259,135277,219025,Conner Central School Apayao 135259,Ripang ES Apayao 135277,Cubet ES Apayao 219025,17.81666667,121.28,17.80016,121.274717,17.810614,121.295822,1.931604075,1.817200374,3.748804449,CS
CAR,Apayao,5.320866383,2,135336,135343,135348,Luna CS Apayao 135336,San Isidro ES Apayao 135343,Tumog Elementary School Apayao 135348,18.33333333,121.3569444,18.33555556,121.3783333,18.31888889,121.3811111,2.286265802,3.034600581,5.320866383,CS
CAR,Apayao,8.445850662,3,135371,135363,135368,Sta. Marcela CS Apayao 135371,Emiliana Elementary School Apayao 135363,Santa Marcela West Central ES Apayao 135368,18.2751,121.4516,18.307,121.433489,18.311445,121.4361,4.056593829,4.389256833,8.445850662,CS
Region III,Aurora,2.143749363,1,104455,104453,104460,Dingalan CS Aurora 104455,Caragsacan ES Aurora 104453,Paltic ES Aurora 104460,15.38722222,121.3930556,15.387053,121.38517,15.38638889,121.405,0.851269412,1.292479951,2.143749363,CS
Region III,Aurora,2.776390913,2,104409,104408,104418,Baler CS Aurora 104409,Anacleto V. Mijares ES Aurora 104408,Suklayin ES Aurora 104418,15.76,121.5645,15.76694444,121.5583333,15.75555556,121.5488889,1.022546001,1.753844912,2.776390913,CS
Region III,Aurora,3.783573237,3,104528,104524,104526,San Luis CS Aurora 104528,Nonong Sr. ES Aurora 104524,Real ES Aurora 104526,15.72166667,121.5202778,15.71388889,121.5011111,15.70805556,121.5225,2.241270193,1.542303044,3.783573237,CS
Region III,Aurora,5.021999476,4,104504,104488,157506,Maria Aurora CS Aurora 104504,Cabituculan East ES Aurora 104488,Ramada ES Aurora 157506,15.79694444,121.4763889,15.808298,121.505044,15.783003,121.482269,3.337789924,1.684209552,5.021999476,CS
Region III,Aurora,6.296214239,5,104445,104444,104447,Dinalungan CS Aurora 104445,Dibaraybay ES Aurora 104444,Mapalad ES Aurora 104447,16.159393,121.931347,16.14,121.933,16.1391,121.8994,2.178078936,4.118135302,6.296214238,CS
Region III,Aurora,6.695191465,6,104423,104422,104427,Casiguran CS Aurora 104423,Calantas ES Aurora 104422,Francisco Benitez ES Aurora 104427,16.27583333,122.1255556,16.3034,122.1111,16.25,122.1391667,3.454600799,3.240590667,6.695191466,CS
Region III,Aurora,7.289540863,7,104470,104481,104483,Dipaculao CS Aurora 104470,Sapangkawayan ES Aurora 104481,Toytoyan ES Aurora 104483,15.84416667,121.5358333,15.847799,121.499575,15.8685,121.5175,3.925565023,3.36397584,7.289540863,CS
Region III,Aurora,18.23117943,8,104435,104432,157514,Dilasag CS Aurora 104435,Diagyan ES Aurora 104432,Lawang West ES Aurora 157514,16.39415833,122.2126361,16.447903,122.19898,16.344027,122.113464,6.19218516,12.03899427,18.23117943,CS
Region IV-A,Bacoor City,0.937789736,1,107877,107890,107891,Aniban CS Bacoor City 107877,Talaba ES Bacoor City 107890,Zapote ES Bacoor City 107891,14.46087538,120.9641105,14.46139483,120.960124,14.46535233,120.9643462,0.435997738,0.501791998,0.937789736,CS
Region VI,Bago City,1.314547674,1,117517,117504,117506,Ma-ao Sugar Central Elementary School Bago City 117517,Bago City Elementary School Bago City 117504,Gen. Juan A. Araneta ES Bago City 117506,10.533333,122.833336,10.537307,122.836761,10.537939,122.838051,0.583058135,0.731489539,1.314547674,CS
CAR,Baguio City,0.566420373,1,136382,136381,136385,Baguio Central school Baguio City 136382,Aguinaldo Elementary School Baguio City 136381,Josefa CariÃ±o Elementary School Baguio City 136385,16.41305556,120.59,16.408636,120.589092,16.41361111,120.59,0.504233147,0.062187226,0.566420373,CS
Region III,Balanga City,2.096320096,1,104554,104556,104557,Bo. Central Elementary School Balanga City 104554,Cataning Elementary School Balanga City 104556,Cupang Elementary School Balanga City 104557,14.663683,120.537593,14.67517742,120.5383615,14.66833774,120.5432833,1.289351894,0.806968202,2.096320096,CS
Region II,Batanes,2.526628905,1,102311,102312,102313,Basco Central School Batanes 102311,Chanarian Elementary School Batanes 102312,Diptan Elementary School Batanes 102313,20.45027778,121.9683333,20.432918,121.959277,20.45222222,121.9655556,2.162968213,0.363660693,2.526628906,CS
Region II,Batanes,8.127346727,2,102328,102329,102330,Sabtang Central School Batanes 102328,Savidug Elementary School Batanes 102329,Sumnanga Elementary School Batanes 102330,20.335579,121.871762,20.31027,121.8863,20.30055556,121.8436111,3.217912314,4.909434413,8.127346727,CS
Region IV-A,Batangas,0.965915134,1,107389,107390,107725,R. Venturanza Central School Batangas 107389,Sambal Elementary School Batangas 107390,Butong Elementary School Batangas 107725,13.87583,120.913727,13.876663,120.91227,13.869073,120.9155603,0.183750362,0.782164772,0.965915134,CS
Region IV-A,Batangas,1.196260124,2,107264,107266,107276,West Bauan Central School Batangas 107264,Centex Batangas Batangas 107266,San Andres Elementary School Batangas 107276,13.78166667,121.0072222,13.7825,121.0075,13.78305556,120.9972222,0.098048503,1.098211622,1.196260125,CS
Region IV-A,Batangas,1.235485367,3,107471,107470,163502,Malvar Central School Batangas 107471,Luta Elementary School Batangas 107470,Luta Norte Elementary School Batangas 163502,14.04194767,121.1572982,14.03597628,121.162107,14.03860408,121.1582137,0.848231286,0.387254082,1.235485368,CS
Region IV-A,Batangas,1.443499077,4,107225,107226,107234,Balayan East Central School Batangas 107225,Balayan West Central School Batangas 107226,Don Leon Martinez Memorial Elementary School Batangas 107234,13.93777778,120.7325,13.93777778,120.7313889,13.94555556,120.7416667,0.120712551,1.322786526,1.443499077,CS
Region IV-A,Batangas,1.606101824,6,107734,107723,107730,Taal Central School Batangas 107734,Balisong Elementary School Batangas 107723,Isabelo Baleros Memorial Elementary School Batangas 107730,13.881459,120.925003,13.878788,120.932854,13.886646,120.921371,0.904036406,0.702065418,1.606101824,CS
Region IV-A,Batangas,2.101834973,8,107287,107290,107306,Calaca Central School Batangas 107287,Camastilisan Elementary School Batangas 107290,Salong Elementary School Batangas 107306,13.93333333,120.8113889,13.930797,120.80497,13.9230683,120.8178917,0.752959164,1.348875809,2.101834973,CS
Region IV-A,Batangas,2.160297178,9,107532,107528,107537,Padre Garcia Central School Batangas 107532,Cawongan Elementary School Batangas 107528,San Felipe Elementary School Batangas 107537,13.87973,121.209869,13.872611,121.222816,13.883287,121.206467,1.616968493,0.543328685,2.160297178,CS
Region IV-A,Batangas,2.364550126,10,107202,107212,107213,Agoncillo Central School Batangas 107202,Pook Elementary School Batangas 107212,Subic Elementary School Batangas 107213,13.934361,120.934356,13.931149,120.927071,13.946042,120.941032,0.86931503,1.495235096,2.364550126,CS
Region IV-A,Batangas,2.438237687,11,107512,107521,107522,Nasugbu West Central School Batangas 107512,Wawa Elementary School Batangas 107521,Bucana Primary School Batangas 107522,14.073627,120.6333681,14.081308,120.62471,14.065625,120.626518,1.273959064,1.164278623,2.438237687,CS
Region IV-A,Batangas,2.468035294,12,107685,107263,107683,San Pascual Central School Batangas 107685,Bauan East Central School Batangas 107263,San Antonio Elementary School Batangas 107683,13.78666667,121.0255556,13.79138889,121.0105556,13.787144,121.018639,1.714214847,0.753820447,2.468035294,CS
Region IV-A,Batangas,2.657886182,13,107571,107542,107570,Rosario East Central School Batangas 107571,Bagong Pook Elementary School Batangas 107542,Quilib - San Roque Elementary School Batangas 107570,13.845299,121.212051,13.844914,121.220955,13.859393,121.206497,0.968698017,1.689188165,2.657886182,CS
Region IV-A,Batangas,2.744508995,14,107632,107631,107635,San Juan West Central School Batangas 107632,San Juan East Central School Batangas 107631,Paaralang Elementarya ng Talahiban 1.0 Batangas 107635,13.827496,121.394203,13.830329,121.397255,13.807242,121.391541,0.458924646,2.285584349,2.744508995,CS
Region IV-A,Batangas,2.812570523,15,107355,107351,107353,Ibaan Central School Batangas 107355,Balanga Elementary School Batangas 107351,Coliat Elementary School Batangas 107353,13.82265687,121.1337705,13.80840872,121.1400497,13.81490853,121.127885,1.734822875,1.077747648,2.812570523,CS
Region IV-A,Batangas,3.150147038,18,107572,107560,107561,Rosario West Central School Batangas 107572,Marilag Elementary School Batangas 107560,Masaya Elementary School Batangas 107561,13.84534859,121.1944889,13.850179,121.179253,13.837142,121.184669,1.741951519,1.408195519,3.150147038,CS
Region IV-A,Batangas,3.231574523,19,107720,107710,107712,Sto. Tomas North Central School Batangas 107720,San Roque Elementary School Batangas 107710,Santiago Elementary School Batangas 107712,14.1052617,121.1424145,14.09545315,121.1500588,14.12181191,121.1414994,1.376314035,1.855260489,3.231574524,CS
Region IV-A,Batangas,3.944281,20,107511,107410,107496,Nasugbu East Central School Batangas 107511,Lian Central School Batangas 107410,Bilaran Elementary School Batangas 107496,14.052668,120.667336,14.0359615,120.6529292,14.0499553,120.6809208,2.438195782,1.506085218,3.944281,CS
Region IV-A,Batangas,5.827723699,23,107215,107217,107219,Alitagtag Central School Batangas 107215,Dalipit Elementary School Batangas 107217,Paaralang Elementarya ng Muzon Batangas 107219,13.8638268,121.0069731,13.86694444,121.0380556,13.8482,120.991429,3.395912629,2.43181107,5.827723699,CS
Region IV-A,Batangas,6.081355362,24,107339,107336,107588,Cuenca Central School Batangas 107339,Briccio Pantas Memorial Elementary School Batangas 107336,Bigain Elementary School Batangas 107588,13.8987578,121.0492935,13.870163,121.049973,13.88753224,121.0731381,3.201698813,2.879656549,6.081355362,CS
Region IV-A,Batangas,8.344224804,25,107374,107205,107373,Laurel Central School Batangas 107374,Banyaga Elementary School Batangas 107205,Gulod Elementary School Batangas 107373,14.055161,120.931496,14.007956,120.94729,14.03168,120.940079,5.555443979,2.788780825,8.344224804,CS
Region IV-A,Batangas,11.54282622,26,107454,107455,107466,Mabini Central School Batangas 107454,Mainaga-San Francisco Elementary School Batangas 107455,Talaga Elementary School Batangas 107466,13.716373,120.901024,13.760879,120.955261,13.731226,120.932679,7.720091776,3.822734446,11.54282622,CS
Region IV-A,Batangas City,1.435641339,1,109597,109545,109600,Batangas City South CS Batangas City 109597,Batangas City East Elementary School Batangas City 109545,Calicanto Elementary School Batangas City 109600,13.76116828,121.0599514,13.76003409,121.064214,13.76673226,121.0532913,0.48052741,0.955113929,1.435641339,CS
Region VII,Bayawan City,9.225599343,1,120123,120135,120166,Bayawan City East Central School Bayawan City 120123,Omod Elementary School Bayawan City 120135,Telesforo Gargantiel Memorial Elementary School Bayawan City 120166,9.370945405,122.7634975,9.397143373,122.8091976,9.379147941,122.7339656,5.837234186,3.388365157,9.225599343,CS
Region VII,Bayawan City,9.302281284,2,120107,120112,120117,Basay Central School Bayawan City 120107,Cleomenes Consolacion Fortugaleza Memorial Elementary School Bayawan City 120112,Monsale Elementary School Bayawan City 120117,9.408949,122.64008,9.383498,122.694505,9.427556,122.625232,6.651498584,2.6507827,9.302281284,CS
Region VIII,Baybay City,1.648473484,1,121079,121099,121102,Baybay I CS (Baybay North CS) Baybay City 121079,Pres. Carlos P. Garcia Elementary School Baybay City 121099,Baybay II Central School Baybay City 121102,10.67707784,124.8044559,10.66680157,124.8041779,10.67624492,124.8000109,1.150712431,0.497761053,1.648473484,CS
CARAGA,Bayugan City,1.08815758,1,131616,131615,212003,Bayugan Central Elem. School SPED Center Bayugan City 131616,Agusan del Sur Pilot Laboratory School Bayugan City 131615,New Katipunan ES Bayugan City 212003,8.718880729,125.7513897,8.714437049,125.7519457,8.714794,125.748066,0.501206811,0.586950769,1.08815758,CS
