ID,School_ID,School_name,Latitude,Longitude,Mapped
141676,100109,Tanap ES,18.494408,120.668138,1
141677,100101,Agaga ES,18.451498,120.646098,1
141678,100220,Carasi ES,18.16684444,120.7333472,1
141679,300009,Carasi NHS,18.139395,120.820784,1
141680,100115,Paguludan PS,18.057964,120.487562,1
141681,100116,Pangil ES,18.038591,120.482404,1
141682,100110,Bimmanga ES,18.037877,120.482521,1
141683,100112,Doña Josefa E. Marcos ES,18.02006,120.487751,1
141684,100113,Langayan ES,18.018016,120.517053,1
141685,150012,Wilbur C. Go Elementary School,17.997692,120.499936,1
141686,320805,Currimao NHS,17.992424,120.503434,1
141687,300013,Wilbur C. Go NHS,17.991568,120.503569,1
141688,100117,Pias-Gaang ES,17.991057,120.502738,1
141689,100111,Comcomloong-Anggapang PS,17.986285,120.509604,1
141690,100114,Maglaoi ES,17.975661,120.483863,1
141691,100127,Ver ES,18.15751389,120.6458139,1
141692,320808,Dingras NHS/Lt. Edgar Foz Mem. NHS (San Marcos Campus),18.134654,120.70857,1
141693,150013,Bagut ES,18.134628,120.708555,1
141694,100132,Hilaria Salvatierra Mem. ES,18.1324,120.683,1
141695,300015,Dingras NHS/Lt. Edgar Foz Mem. NHS,18.13236111,120.6830444,1
141696,320810,SUYO NATIONAL HIGH SCHOOL,18.131089,120.683186,1
141697,100138,Suyo ES,18.130686,120.683548,1
141698,100135,San Esteban ES,18.127966,120.72081,1
141699,100133,Mandaloque ES,18.124075,120.69944,1
141700,100137,San Marcos ES,18.11924444,120.6519028,1
141701,100129,Capasan ES,18.118985,120.674329,1
141702,100120,Dingras Central ES,18.11721944,120.7022694,1
141703,100126,Sulquiano ES,18.11721944,120.7022694,1
141704,100130,Dingras West CES,18.11721944,120.7022694,1
141705,100128,Bacsil ES,18.115053,120.679993,1
141706,100134,Peralta ES,18.109771,120.694409,1
141707,100136,Sagpatan ES,18.10965278,120.7184722,1
141708,100131,Espiritu ES,18.087184,120.680219,1
141709,320809,Dingras NHS/Lt. Edgar Foz Mem. NHS- (Sulquiano Campus),18.087145,120.680069,1
141710,100123,Medina Parado ES,18.077419,120.70426,1
141711,100124,Saludares-Cali ES,18.07219722,120.6862917,1
141712,320806,Dingras NHS/Lt. Edgar Foz Mem. NHS (Barong Campus),18.070521,120.717951,1
141713,100119,Barong ES,18.068578,120.720968,1
141714,100121,Elizabeth-Lanas ES,18.068146,120.72091,1
141715,150017,Elizabeth ES,18.063604,120.73091,1
141716,100118,Baresbes ES,18.059918,120.747165,1
141717,150021,Mabino ES,18.053524,120.774909,1
141718,100122,Francisco ES,18.040179,120.775738,1
141719,320807,San Marcelino National High School,18.034748,120.761645,1
141720,100125,San Marcelino ES,18.03472,120.761859,1
141721,100055,San Isidro Elementary School,18.52885,120.828084,1
141722,100050,Dumalneg ES,18.51252,120.735395,1
141723,300017,Dumalneg NHS,18.51251944,120.7353944,1
141724,100060,Barbarangay ES,18.015372,120.635931,1
141725,100064,Caribquib ES,18.002026,120.667481,1
141726,100066,Crispina ES,18.001967,120.66741,1
141727,300010,Caribquib NHS,18.00158611,120.6685639,1
141728,100073,Tabtabagan Elementary School,17.996002,120.676418,1
141729,100062,Bugasi ES,17.988309,120.692184,1
141730,100074,VALDEZ ELEMENTARY SCHOOL,17.98321445,120.712341,1
141731,100059,Banna Central Elementary School,17.981601,120.655282,1
141732,300004,Banna National High School,17.98035278,120.6581583,1
141733,100063,Caestebanan ES,17.9791,120.655,1
141734,100072,Sinamar ES,17.97585,120.706483,1
141735,300008,Caestebanan NHS,17.974081,120.706401,1
141736,100070,Nagpatayan ES,17.966985,120.638862,1
141737,100065,Catagtaguen ES,17.964673,120.660013,1
141738,300011,Catagtaguen National High School,17.96351111,120.6598333,1
141739,100058,Bangsar ES,17.953871,120.642383,1
141740,100068,Lading ES,17.949127,120.686059,1
141741,100061,Bomitog ES,17.944145,120.615635,1
141742,100069,Macayepyep ES,17.940556,120.658056,1
141743,100067,Imelda ES,17.939142,120.639227,1
141744,100071,Quiaoit Memorial ES,17.922717,120.636039,1
141745,305601,Caaoacan High School,18.25283056,120.56025,1
141746,102195,Caaoacan Elementary School,18.2525,120.56,1
141747,102198,Don Galicano R. Rafales Memorial Elementary School,18.240639,120.576002,1
141748,102197,Cataban Elementary School,18.23518611,120.5629806,1
141749,102200,Navotas Elementary School,18.23125278,120.5636167,1
141750,102201,Pila Elementary School,18.22016389,120.5778111,1
141751,102206,Barit Elementary School,18.219033,120.604847,1
141752,102207,Vira Elementary School,18.21722222,120.5905556,1
141753,102196,Casili Elementary School,18.21638889,120.5772222,1
141754,102213,Salet Elementary School,18.21333333,120.6130556,1
141755,102204,Suyo Elementary School,18.21094444,120.56785,1
141756,153001,Sto. Nino Elementary School,18.21027778,120.555,1
141757,102203,Sta. Maria Elementary School,18.20878333,120.5858806,1
141758,300375,Ilocos Norte Regional School of Fisheries,18.204709,120.531293,1
141759,300374,Ilocos Norte National High School,18.2045193,120.5913592,1
141760,300373,Ilocos Norte College of Arts & Trades,18.204021,120.593322,1
141761,102202,Shamrock Elementary School,18.20269722,120.5931111,1
141762,102199,Eulalio. F. Siazon Memorial Elementary School,18.202603,120.538047,1
141763,102210,Lagui-Sail Elementary School,18.20194444,120.6330556,1
141764,102205,Bacsil Elementary School,18.19861111,120.6558333,1
141765,102192,Tangid Elementary School,18.1968,120.592,1
141766,102209,Gabaldon Elementary School,18.196551,120.6055,1
141767,102193,Agripino P. Santos Elementary School,18.19638889,120.5866667,1
141768,102182,Amarosa Elementary School,18.196,120.593,1
141769,102194,Alipio N. Ignacio Memorial Elementary School,18.196,120.593,1
141770,102191,Laoag Central Elementary School,18.19511111,120.5942778,1
141771,102212,Roque B. Ablan Elementary School,18.192704,120.597111,1
141772,102211,Plaridel Elementary School,18.19225278,120.6108167,1
141773,102190,Gabu Elementary School,18.18807778,120.5298,1
141774,102186,Cabeza Elementary School,18.1873,120.559,1
141775,102185,Buttong Elementary School,18.18646111,120.5824556,1
141776,300372,Gabu NHS,18.18588611,120.5295278,1
141777,102188,Cavit-Araniw Elementary School,18.18469722,120.537975,1
141778,102208,Faustino Reyes Memorial Elementary School,18.178985,120.618602,1
141779,102189,Darayday Elementary School,18.17555556,120.565,1
141780,102183,Balacad Elementary School,18.158026,120.54544,1
141781,102187,Calayab Elementary School,18.149133,120.532634,1
141782,500056,Balatong Integrated School,,,0
141783,500742,San Mateo Integrated School,,,0
141784,100145,Escoda ES,18.1082,120.695,1
141785,100151,Mabuti ES,18.071702,120.682979,1
141786,100150,Imelda ES,18.058901,120.670431,1
141787,100155,Pacifico ES,18.05468,120.714912,1
141788,100141,Biding ES,18.045498,120.686042,1
141789,100152,Marcos Central School,18.04386,120.674628,1
141790,300020,Marcos NHS,18.042491,120.675968,1
141791,320811,Marcos NHS (Agunit Campus),18.028359,120.71125,1
141792,100146,F. Daquioag Mem. ES,18.027748,120.676979,1
141793,100148,Fortuna ES,18.014748,120.674324,1
141794,100144,Elizabeth ES,18.008592,120.726016,1
141795,100156,Santiago ES,18.007962,120.698604,1
141796,100158,Tabucbuc Elementary School,18.007917,120.698588,1
141797,320812,Marcos NHS (Santiago Campus),17.998871,120.710352,1
141798,100143,Cacafean ES,17.991738,120.734439,1
141799,100147,Ferdinand ES,17.983421,120.721263,1
141800,100157,Santo Nino ES,17.98181,120.730754,1
141801,100139,Acnam-Caray ES,17.944346,120.706324,1
141802,100142,Cabittauran ES,17.944295,120.706478,1
141803,320820,Adriano P. Arzadon NHS,17.943734,120.706599,1
141804,150019,Bugayong Elementary Sch.,17.932548,120.607643,1
141805,150018,Barikir ES,17.92514,120.672568,1
141806,100154,Nueva Era Central Elementary School,17.91663,120.662997,1
141807,300022,NUEVA ERA NATIONAL HIGH SCHOOL,17.91353333,120.6661833,1
141808,100153,Naguilian Elementary School,17.906381,120.633069,1
141809,100149,Garnaden ES,17.895437,120.571569,1
141810,100140,Barangobong E/S,17.828968,120.523658,1
141811,500594,Uguis Integrated School,,,0
141812,100166,Caunayan Elementary School,18.619241,120.837178,1
141813,100168,Gamaban ES,18.609091,120.868073,1
141814,100165,Caparispisan PS,18.60462,120.803637,1
141815,100162,Balaoi ES,18.602379,120.873711,1
141816,100176,Saud ES,18.589308,120.786438,1
141817,100164,Burayoc ES,18.580725,120.782875,1
141818,100177,Subec ES,18.577154,120.816328,1
141819,100170,Luzuyo PS,18.576687,120.795032,1
141820,100169,Luzong ES,18.572393,120.809644,1
141821,300019,Luzong NHS,18.56771111,120.8113889,1
141822,100173,Pancian ES,18.5645382,120.7877657,1
141823,300024,PAGUDPUD NHS,18.564467,120.787535,1
141824,100171,Pagudpud Central Elementary School,18.564082,120.787051,1
141825,100175,Saguigui ES,18.559927,120.824533,1
141826,100172,Pagudpud South CES,18.558056,120.784554,1
141827,300026,Pasaleng National High School,18.55094167,120.9482889,1
141828,100161,Aggasi ES,18.549522,120.813145,1
141829,100174,Pasaleng ES,18.548666,120.936376,1
141830,100179,Tarrag PS,18.545472,120.790514,1
141831,100167,Dampig ES,18.540082,120.820842,1
141832,100187,Nanguyudan Elementary School,18.121111,120.557222,1
141833,100193,Suba ES,18.120045,120.516062,1
141834,150003,Nagbacalan West ES,18.115299,120.519076,1
141835,100184,Mumulaan ES,18.100452,120.5081144,1
141836,100190,Pasil ES,18.10002222,120.5395583,1
141837,100180,Bacsil ES,18.088902,120.499749,1
141838,100186,Nalasin ES,18.071556,120.522663,1
141839,100191,Salbang ES,18.06441,120.527582,1
141840,300025,Paoay Lake NHS,18.061863,120.520978,1
141841,320814,Paoay National High School,18.060855,120.520668,1
141842,100188,Paoay CES,18.06041667,120.5205306,1
141843,100189,Paoay East Central ES,18.059256,120.524984,1
